training neural net 2......
Epoch 1, Loss: 2.3006491661071777
Epoch 136, Loss: 1.9063047170639038
Epoch 137, Loss: 1.9035005569458008
Epoch 138, Loss: 1.9007104635238647
Epoch 139, Loss: 1.8978793621063232
Epoch 140, Loss: 1.8951027393341064
Epoch 141, Loss: 1.8922371864318848
Epoch 142, Loss: 1.889404058456421
Epoch 143, Loss: 1.8865267038345337
Epoch 144, Loss: 1.8836230039596558
Epoch 145, Loss: 1.880734920501709
Epoch 146, Loss: 1.8778600692749023
Epoch 147, Loss: 1.874971628189087
Epoch 148, Loss: 1.8720213174819946
Epoch 149, Loss: 1.8690627813339233
Epoch 150, Loss: 1.8661540746688843
Epoch 151, Loss: 1.8631564378738403
Epoch 152, Loss: 1.8601921796798706
Epoch 153, Loss: 1.857240080833435
Epoch 154, Loss: 1.8542191982269287
